site_id,Year,Month,sensor_id,sensor_type,aggregation_stat,sensor_observation,QC Comments
BHWS,2010,Oct,BHWS_TE525,rain,total monthly inches,5.41,NA
BHWS,2010,Nov,BHWS_TE525,rain,total monthly inches,3.26,NA
BHWS,2010,Dec,BHWS_TE525,rain,total monthly inches,9.45,NA
BHWS,2011,Jan,BHWS_TE525,rain,total monthly inches,2.01,NA
BHWS,2011,Feb,BHWS_TE525,rain,total monthly inches,6.65,NA
BHWS,2011,Mar,BHWS_TE525,rain,total monthly inches,10.96,NA
BHWS,2011,Apr,BHWS_TE525,rain,total monthly inches,0.71,NA
BHWS,2011,May,BHWS_TE525,rain,total monthly inches,2.64,NA
BHWS,2011,Jun,BHWS_TE525,rain,total monthly inches,2.12,NA
BHWS,2011,Jul,BHWS_TE525,rain,total monthly inches,0,NA
BHWS,2011,Aug,BHWS_TE525,rain,total monthly inches,0.02,NA
BHWS,2011,Sep,BHWS_TE525,rain,total monthly inches,0.02,NA
BHWS,2011,Oct,BHWS_TE525,rain,total monthly inches,2.48,NA
BHWS,2011,Nov,BHWS_TE525,rain,total monthly inches,2.2,NA
BHWS,2011,Dec,BHWS_TE525,rain,total monthly inches,0.28,NA
BHWS,2012,Jan,BHWS_TE525,rain,total monthly inches,6.28,NA
BHWS,2012,Feb,BHWS_TE525,rain,total monthly inches,2.33,NA
BHWS,2012,Mar,BHWS_TE525,rain,total monthly inches,9.98,NA
BHWS,2012,Apr,BHWS_TE525,rain,total monthly inches,2.56,NA
BHWS,2012,May,BHWS_TE525,rain,total monthly inches,0.26,NA
BHWS,2012,Jun,BHWS_TE525,rain,total monthly inches,0.05,NA
BHWS,2012,Jul,BHWS_TE525,rain,total monthly inches,0.02,NA
BHWS,2012,Aug,BHWS_TE525,rain,total monthly inches,0,NA
BHWS,2012,Sep,BHWS_TE525,rain,total monthly inches,0.01,NA
BHWS,2012,Oct,BHWS_TE525,rain,total monthly inches,2.29,NA
BHWS,2012,Nov,BHWS_TE525,rain,total monthly inches,8.33,NA
BHWS,2012,Dec,BHWS_TE525,rain,total monthly inches,10.05,NA
BHWS,2013,Jan,BHWS_TE525,rain,total monthly inches,0.89,NA
BHWS,2013,Feb,BHWS_TE525,rain,total monthly inches,0.33,NA
BHWS,2013,Mar,BHWS_TE525,rain,total monthly inches,2.14,NA
BHWS,2013,Apr,BHWS_TE525,rain,total monthly inches,0.98,NA
BHWS,2013,May,BHWS_TE525,rain,total monthly inches,0.21,NA
BHWS,2013,Jun,BHWS_TE525,rain,total monthly inches,1.24,NA
BHWS,2013,Jul,BHWS_TE525,rain,total monthly inches,0.03,NA
BHWS,2013,Aug,BHWS_TE525,rain,total monthly inches,0.03,NA
BHWS,2013,Sep,BHWS_TE525,rain,total monthly inches,0.68,NA
BHWS,2013,Oct,BHWS_TE525,rain,total monthly inches,0,NA
BHWS,2013,Nov,BHWS_TE525,rain,total monthly inches,0,NA
BHWS,2013,Dec,BHWS_TE525,rain,total monthly inches,0.45,NA
