Site Location Code ,Sample Point #,Sampler(s),Date ,site Description ,Catenal Possition ,Suction Rate (cm)  ,Time(s),Sqrt (t),Volume (mL),Infilt (cm) ,Radius (cm/s) ,Data enterer ,Date entered ,loss of volume by time. (ml/s),Sample point Average volume loss per second (ml/s) , Location Average volume loss by time 
MED02,1,MG/TR,2/26/2016,Not recently grazed. Medusahead ,midslope ,-1,0,0,70,0,2.25,df,2/9/2017,,0.09375,0.055827381
MED02,1,MG/TR,2/26/2016,,midslope ,-1,120,10.95445115,60,0.628760269,2.25,df,2/9/2017,0.083333333,,
MED02,1,MG/TR,2/26/2016,,midslope ,-1,240,15.49193338,51,1.194644511,2.25,df,2/9/2017,0.075,,
MED02,1,MG/TR,2/26/2016,,midslope ,-1,360,18.97366596,38.5,1.980594847,2.25,df,2/9/2017,0.104166667,,
MED02,1,MG/TR,2/26/2016,,midslope ,-1,480,21.9089023,27,2.703669157,2.25,df,2/9/2017,0.095833333,,
MED02,1,MG/TR,2/26/2016,,midslope ,-1,600,24.49489743,15,3.45818148,2.25,df,2/9/2017,0.1,,
MED02,1,MG/TR,2/26/2016,,midslope ,-1,720,26.83281573,2.5,4.244131816,2.25,df,2/9/2017,0.104166667,,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,0,0,63,0,2.25,df,2/9/2017,,0.115625,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,120,10.95445115,49.5,0.848826363,2.25,df,2/9/2017,0.1125,,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,240,15.49193338,35,1.760528753,2.25,df,2/9/2017,0.120833333,,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,360,18.97366596,20.5,2.672231143,2.25,df,2/9/2017,0.120833333,,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,480,21.9089023,7.5,3.489619493,2.25,df,2/9/2017,0.108333333,,
MED02,2,MG/TR,2/26/2016,,midslope ,-1,600,24.49489743,*,#VALUE!,2.25,df,2/9/2017,#VALUE!,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,0,0,74,0,2.25,df,2/9/2017,,0.027777778,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,120,10.95445115,71,0.188628081,2.25,df,2/9/2017,0.025,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,240,15.49193338,69,0.314380135,2.25,df,2/9/2017,0.016666667,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,360,18.97366596,65,0.565884242,2.25,df,2/9/2017,0.033333333,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,480,21.9089023,62,0.754512323,2.25,df,2/9/2017,0.025,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,600,24.49489743,58,1.00601643,2.25,df,2/9/2017,0.033333333,,
MED02,3,MG/TR,2/26/2016,,midslope ,-1,720,26.83281573,54,1.257520538,2.25,df,2/9/2017,0.033333333,,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,0,0,50,0,2.25,df,2/9/2017,0.033333333,0.048333333,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,120,10.95445115,46,0.251504108,2.25,df,2/9/2017,0.033333333,,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,240,15.49193338,42,0.503008215,2.25,df,2/9/2017,0.033333333,,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,360,18.97366596,37,0.81738835,2.25,df,2/9/2017,0.041666667,,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,480,21.9089023,29,1.320396565,2.25,df,2/9/2017,0.066666667,,
MED02,4,MG/TR,2/26/2016,,midslope ,-1,600,24.49489743,21,1.82340478,2.25,df,2/9/2017,0.066666667,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,0,0,74,0,2.25,df,2/9/2017,,0.021428571,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,120,10.95445115,70,0.251504108,2.25,df,2/9/2017,0.033333333,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,240,15.49193338,68,0.377256161,2.25,df,2/9/2017,0.016666667,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,360,18.97366596,66,0.503008215,2.25,df,2/9/2017,0.016666667,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,480,21.9089023,64,0.628760269,2.25,df,2/9/2017,0.016666667,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,600,24.49489743,62,0.754512323,2.25,df,2/9/2017,0.016666667,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,720,26.83281573,59,0.943140404,2.25,df,2/9/2017,0.025,,
MED02,5,MG/TR,2/26/2016,No Clay layer ,midslope ,-1,840,28.98275349,56,1.131768484,2.25,df,2/9/2017,0.025,,
MIX01,1,MG/TR,2/5/2016,"Not recently grazed. A lot of Romulea, coyote brush moving in. ",midslope / footslope,-1,0,0,70,0,2.25,df,2/10/2017,,0.106666667,0.082861111
MIX01,1,MG/TR,2/5/2016,,midslope / footslope,-1,120,10.95445115,57,0.81738835,2.25,df,2/10/2017,0.108333333,,
MIX01,1,MG/TR,2/5/2016,,midslope / footslope,-1,240,15.49193338,46,1.509024646,2.25,df,2/10/2017,0.091666667,,
MIX01,1,MG/TR,2/5/2016,,midslope / footslope,-1,360,18.97366596,33,2.326412995,2.25,df,2/10/2017,0.108333333,,
MIX01,1,MG/TR,2/5/2016,,midslope / footslope,-1,480,21.9089023,20,3.143801345,2.25,df,2/10/2017,0.108333333,,
MIX01,1,MG/TR,2/5/2016,,midslope / footslope,-1,600,24.49489743,6,4.024065722,2.25,df,2/10/2017,0.116666667,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,0,0,69,0.062876027,2.25,df,2/10/2017,,0.041666667,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,120,10.95445115,62,0.503008215,2.25,df,2/10/2017,0.058333333,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,240,15.49193338,57,0.81738835,2.25,df,2/10/2017,0.041666667,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,360,18.97366596,52,1.131768484,2.25,df,2/10/2017,0.041666667,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,480,21.9089023,48,1.383272592,2.25,df,2/10/2017,0.033333333,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,600,24.49489743,44,1.634776699,2.25,df,2/10/2017,0.033333333,,
MIX01,2,MG/TR,2/5/2016,,midslope / footslope,-1,720,26.83281573,39,1.949156834,2.25,df,2/10/2017,0.041666667,,
MIX01,3,MG/TR,2/5/2016,,midslope / footslope,-1,0,0,71,0,2.25,df,2/10/2017,,0.147916667,
MIX01,3,MG/TR,2/5/2016,,midslope / footslope,-1,120,10.95445115,56,0.943140404,2.25,df,2/10/2017,0.125,,
MIX01,3,MG/TR,2/5/2016,,midslope / footslope,-1,240,15.49193338,38,2.074908888,2.25,df,2/10/2017,0.15,,
MIX01,3,MG/TR,2/5/2016,,midslope / footslope,-1,360,18.97366596,15,3.521057506,2.25,df,2/10/2017,0.191666667,,
MIX01,3,MG/TR,2/5/2016,,midslope / footslope,-1,480,21.9089023,0,4.46419791,2.25,df,2/10/2017,0.125,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,0,0,75,0,2.25,df,2/10/2017,,0.056944444,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,120,10.95445115,68,0.440132188,2.25,df,2/10/2017,0.058333333,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,240,15.49193338,62,0.81738835,2.25,df,2/10/2017,0.05,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,360,18.97366596,55,1.257520538,2.25,df,2/10/2017,0.058333333,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,480,21.9089023,48,1.697652726,2.25,df,2/10/2017,0.058333333,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,600,24.49489743,41,2.137784915,2.25,df,2/10/2017,0.058333333,,
MIX01,4,MG/TR,2/5/2016,,midslope / footslope,-1,720,26.83281573,34,2.577917103,2.25,df,2/10/2017,0.058333333,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,0,0,74,0,2.25,df,2/10/2017,,0.061111111,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,120,10.95445115,67,0.440132188,2.25,df,2/10/2017,0.058333333,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,240,15.49193338,58,1.00601643,2.25,df,2/10/2017,0.075,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,360,18.97366596,49,1.571900673,2.25,df,2/10/2017,0.075,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,480,21.9089023,42,2.012032861,2.25,df,2/10/2017,0.058333333,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,600,24.49489743,37,2.326412995,2.25,df,2/10/2017,0.041666667,,
MIX01,5,MG/TR,2/5/2016,,midslope / footslope,-1,720,26.83281573,30,2.766545184,2.25,df,2/10/2017,0.058333333,,
Nat02 ,1,MG/WT/SB,2/13/2016,Not recently grazed. Coyote brush moving in. no recent rain but ground is moist ,midslope,-1,0,0,72,0,2.25,df,2/10/2017,,0.047916667,0.02633658
Nat02 ,1,MG/WT/SB,2/13/2016,,midslope,-1,120,10.95445115,67,0.314380135,2.25,df,2/10/2017,0.041666667,,
Nat02 ,1,MG/WT/SB,2/13/2016,,midslope,-1,240,15.49193338,61,0.691636296,2.25,df,2/10/2017,0.05,,
Nat02 ,1,MG/WT/SB,2/13/2016,,midslope,-1,360,18.97366596,55,1.068892457,2.25,df,2/10/2017,0.05,,
Nat02 ,1,MG/WT/SB,2/13/2016,,midslope,-1,480,21.9089023,49,1.446148619,2.25,df,2/10/2017,0.05,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,0,0,67,0,2.25,df,2/10/2017,,0.017857143,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,120,10.95445115,65,0.125752054,2.25,df,2/10/2017,0.016666667,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,240,15.49193338,63,0.251504108,2.25,df,2/10/2017,0.016666667,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,360,18.97366596,61,0.377256161,2.25,df,2/10/2017,0.016666667,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,480,21.9089023,59,0.503008215,2.25,df,2/10/2017,0.016666667,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,600,24.49489743,56.5,0.660198282,2.25,df,2/10/2017,0.020833333,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,720,26.83281573,54,0.81738835,2.25,df,2/10/2017,0.020833333,,
Nat02 ,2,MG/WT/SB,2/13/2016,,midslope,-1,840,28.98275349,52,0.943140404,2.25,df,2/10/2017,0.016666667,,
Nat02 ,3,MG/WT/SB,2/13/2016,,midslope,-1,0,0,72,0,2.25,df,2/10/2017,0,0.054166667,
Nat02 ,3,MG/WT/SB,2/13/2016,,midslope,-1,120,10.95445115,68,0.251504108,2.25,df,2/10/2017,0.033333333,,
Nat02 ,3,MG/WT/SB,2/13/2016,,midslope,-1,240,15.49193338,62,0.628760269,2.25,df,2/10/2017,0.05,,
Nat02 ,3,MG/WT/SB,2/13/2016,,midslope,-1,360,18.97366596,54,1.131768484,2.25,df,2/10/2017,0.066666667,,
Nat02 ,3,MG/WT/SB,2/13/2016,,midslope,-1,480,21.9089023,46,1.634776699,2.25,df,2/10/2017,0.066666667,,
Nat02 ,4,MG/WT/SB,2/13/2016,,midslope,-1,0,0,69,0,2.25,df,2/10/2017,,0.011742424,
Nat02 ,4,MG/WT/SB,2/13/2016,,midslope,-1,120,10.95445115,67,0.125752054,2.25,df,2/10/2017,0.016666667,,
Nat02 ,4,MG/WT/SB,2/13/2016,,midslope,-1,240,15.49193338,65,0.251504108,2.25,df,2/10/2017,0.016666667,,
Nat02 ,4,MG/WT/SB,2/13/2016,,midslope,-1,360,18.97366596,64,0.314380135,2.25,df,2/10/2017,0.008333333,,
Nat02 ,4,MG/WT/SB,2/13/2016,,midslope,-1,480,21.9089023,63,0.377256161,2.25,df,2/10/2017,0.008333333,,
