survey_id,Time (s),mL
PMD01_NAT02_18-02-XX,0,81.5
PMD01_NAT02_18-02-XX,30,80
PMD01_NAT02_18-02-XX,60,79
PMD01_NAT02_18-02-XX,90,78
PMD01_NAT02_18-02-XX,120,77
PMD01_NAT02_18-02-XX,150,76.5
PMD01_NAT02_18-02-XX,180,75.5
PMD01_NAT02_18-02-XX,210,75
PMD01_NAT02_18-02-XX,240,74
PMD01_NAT02_18-02-XX,270,73.5
PMD01_NAT02_18-02-XX,300,72
PMD01_NAT02_18-02-XX,330,71.5
PMD01_NAT02_18-02-XX,360,71
PMD01_NAT02_18-02-XX,390,70
PMD01_NAT02_18-02-XX,420,69
PMD01_NAT02_18-02-XX,450,68.5
PMD01_NAT02_18-02-XX,480,67.5
PMD01_NAT02_18-02-XX,510,67
PMD01_NAT02_18-02-XX,540,66
PMD01_NAT02_18-02-XX,570,65
PMD01_NAT02_18-02-XX,600,64.5
PMD01_NAT02_18-02-XX,630,64
PMD01_NAT02_18-02-XX,660,63
PMD01_NAT02_18-02-XX,690,62
PMD01_NAT02_18-02-XX,720,61
PMD01_NAT02_18-02-XX,750,60.5
PMD01_NAT02_18-02-XX,780,60
PMD01_NAT02_18-02-XX,810,59
PMD01_NAT02_18-02-XX,840,58
PMD01_NAT02_18-02-XX,870,57.5
PMD01_NAT02_18-02-XX,900,56
PMD01_NAT02_18-02-XX,930,55.5
PMD01_NAT02_18-02-XX,960,55
PMD01_NAT02_18-02-XX,990,54.5
PMD01_NAT02_18-02-XX,1020,53.5
PMD01_NAT02_18-02-XX,1050,52.5
PMD01_NAT02_18-02-XX,1080,52
PMD01_NAT02_18-02-XX,1110,51
PMD01_NAT02_18-02-XX,1140,50
PMD01_NAT02_18-02-XX,1170,49
PMD01_NAT02_18-02-XX,1200,48.5
PMD01_NAT02_18-02-XX,1230,48
PMD01_NAT02_18-02-XX,1260,47
PMD01_NAT02_18-02-XX,1290,46.25
PMD01_NAT02_18-02-XX,1320,45
PMD01_NAT02_18-02-XX,1350,44.5
PMD01_NAT02_18-02-XX,1380,44
PMD01_NAT02_18-02-XX,1410,43
PMD01_NAT02_18-02-XX,1440,42
PMD01_NAT02_18-02-XX,1470,41
PMD01_NAT02_18-02-XX,1500,40
PMD01_NAT02_18-02-XX,1530,39.5
PMD01_NAT02_18-02-XX,1560,38.5
PMD01_NAT02_18-02-XX,1590,38
PMD01_NAT02_18-02-XX,1620,37
PMD01_NAT02_18-02-XX,1650,36
PMD01_NAT02_18-02-XX,1680,35
PMD01_NAT02_18-02-XX,1710,34.5
PMD01_NAT02_18-02-XX,1740,33
PMD01_NAT02_18-02-XX,1770,32.5
PMD01_NAT02_18-02-XX,1800,31.5
