site_id,utm_E,utm_N,locationAccuracy,soilType,geology,forestType,SoilBurnSeverity,grainSize,suctionSetting,landbase/property,comments
PMD01,,,,,Franciscan,Herbaceous,Very Low,,,Pepperwood,at GLM
PMD02,527301.8,4268723.4,bad elf X cm,,Serpentinite,Shrubland,Moderate,,,Pepperwood,
PMD03,525500.9,4270407.4,bad elf X cm,,Franciscan,Herbaceous,Very Low,,,Pepperwood,at GLM
PMD04,,,,,Volcanic,Evergreen,Moderate,,,Pepperwood,
PMD05,,,,,Franciscan,Shrubland,Low,,,Pepperwood,
PMD06,,,,,Franciscan,Evergreen,Moderate,,,Pepperwood,
PMD07,,,,,Franciscan,Evergreen,Low,,,Pepperwood,
PMD08,,,,,Serpentinite,Shrubland,Moderate,,,Pepperwood,
PMD09,,,,,,Evergreen,Moderate,,,Pepperwood,
PMD10,,,,,,,,,,Pepperwood,
PMD11,,,,,,,,,,Pepperwood,
PMD12,,,,,,,,,,Pepperwood,
PMD13,,,,,,,,,,Pepperwood,
PMD14,,,,,,,,,,Pepperwood,
PMD15,,,,,,,,,,Pepperwood,
AMD01,,,,,Volcanic,Evergreen,Moderate,,,Annadale,
AMD02,,,,,Volcanic,Shrubland,High,,,Annadale,
AMD03,,,,,Volcanic,Evergreen,Moderate,,,Annadale,
AMD04,,,,,Volcanic,Shrubland,Moderate,,,Annadale,
AMD05,,,,,Volcanic,Evergreen,High,,,Annadale,
AMD06,,,,,Volcanic,Broadleaf,Moderate,,,Annadale,
AMD07,,,,,Volcanic,Herbaceous,Low,,,Annadale,
AMD08,,,,,Volcanic,Evergreen,High,,,Annadale,
AMD09,,,,,Volcanic,Evergreen,High,,,Annadale,
AMD10,,,,,Volcanic,Herbaceous,Low,,,Annadale,
AMD11,,,,,Volcanic,Evergreen,High,,,Annadale,
AMD12,,,,,Sedimentary,Shrubland,Low,,,Annadale,
AMD13,,,,,Sedimentary,Herbaceous,Low,,,Annadale,
AMD14,,,,,Sedimentary,Shrubland,Moderate,,,Annadale,
AMD15,,,,,Sedimentary,Herbaceous,Low,,,Annadale,
AMD16,,,,,Sedimentary,Evergreen,Low,,,Annadale,
AMD17,,,,,Sedimentary,Evergreen,Low,,,Annadale,
AMD18,,,,,Sedimentary,Broadleaf,Low,,,Annadale,
AMD19,,,,,Sedimentary,Broadleaf,Low,,,Annadale,
SMD01,,,,,Serpentinite,Herbaceous,Moderate,,,Sugar Loaf,
SMD02,,,,,Serpentinite,Shrubland,Moderate,,,Sugar Loaf,
