Date/Time,Unit,Value,Sensor
8/9/2017 23:00,C,16.579,MC1L
8/9/2017 23:00,C,18.126,MC1H
8/9/2017 22:00,C,17.582,MC1L
8/9/2017 22:00,C,19.127,MC1H
8/9/2017 21:00,C,19.084,MC1L
8/9/2017 21:00,C,20.128,MC1H
8/9/2017 20:00,C,21.087,MC1L
8/9/2017 20:00,C,21.63,MC1H
8/9/2017 19:00,C,22.589,MC1L
8/9/2017 19:00,C,23.13,MC1H
8/9/2017 18:00,C,24.59,MC1L
8/9/2017 18:00,C,24.131,MC1H
8/9/2017 17:00,C,24.59,MC1L
8/9/2017 17:00,C,24.131,MC1H
8/9/2017 16:00,C,24.09,MC1L
8/9/2017 16:00,C,24.131,MC1H
8/9/2017 15:00,C,25.09,MC1L
8/9/2017 15:00,C,23.631,MC1H
8/9/2017 14:00,C,23.589,MC1L
8/9/2017 14:00,C,22.13,MC1H
8/9/2017 13:00,C,21.087,MC1L
8/9/2017 13:00,C,20.629,MC1H
8/9/2017 12:00,C,19.585,MC1L
8/9/2017 12:00,C,19.628,MC1H
8/9/2017 11:00,C,18.083,MC1L
8/9/2017 11:00,C,17.625,MC1H
8/9/2017 10:00,C,16.078,MC1L
8/9/2017 10:00,C,16.624,MC1H
8/9/2017 9:00,C,14.574,MC1L
8/9/2017 9:00,C,15.622,MC1H
8/9/2017 8:00,C,14.073,MC1L
8/9/2017 8:00,C,15.121,MC1H
8/9/2017 7:00,C,13.571,MC1L
8/9/2017 7:00,C,15.121,MC1H
8/9/2017 6:00,C,14.073,MC1L
8/9/2017 6:00,C,15.622,MC1H
8/9/2017 5:00,C,14.073,MC1L
8/9/2017 5:00,C,15.622,MC1H
8/9/2017 4:00,C,14.073,MC1L
8/9/2017 4:00,C,15.622,MC1H
8/9/2017 3:00,C,13.571,MC1L
8/9/2017 3:00,C,15.622,MC1H
8/9/2017 2:00,C,14.073,MC1L
8/9/2017 2:00,C,15.622,MC1H
8/9/2017 1:00,C,14.574,MC1L
8/9/2017 1:00,C,16.624,MC1H
8/9/2017 0:00,C,15.075,MC1L
8/9/2017 0:00,C,17.125,MC1H
8/8/2017 23:00,C,16.078,MC1L
8/8/2017 23:00,C,17.625,MC1H
8/8/2017 22:00,C,17.08,MC1L
8/8/2017 22:00,C,18.627,MC1H
8/8/2017 21:00,C,19.084,MC1L
8/8/2017 21:00,C,20.128,MC1H
8/8/2017 20:00,C,21.087,MC1L
8/8/2017 20:00,C,21.63,MC1H
8/8/2017 19:00,C,22.589,MC1L
8/8/2017 19:00,C,22.63,MC1H
8/8/2017 18:00,C,25.09,MC1L
8/8/2017 18:00,C,23.631,MC1H
8/8/2017 17:00,C,25.09,MC1L
8/8/2017 17:00,C,24.631,MC1H
8/8/2017 16:00,C,24.59,MC1L
8/8/2017 16:00,C,24.131,MC1H
8/8/2017 15:00,C,26.59,MC1L
8/8/2017 15:00,C,23.631,MC1H
8/8/2017 14:00,C,23.089,MC1L
8/8/2017 14:00,C,22.13,MC1H
8/8/2017 13:00,C,21.087,MC1L
8/8/2017 13:00,C,20.629,MC1H
8/8/2017 12:00,C,19.084,MC1L
8/8/2017 12:00,C,18.627,MC1H
8/8/2017 11:00,C,17.08,MC1L
8/8/2017 11:00,C,17.125,MC1H
8/8/2017 10:00,C,15.577,MC1L
8/8/2017 10:00,C,16.624,MC1H
8/8/2017 9:00,C,14.574,MC1L
8/8/2017 9:00,C,15.622,MC1H
8/8/2017 8:00,C,14.073,MC1L
8/8/2017 8:00,C,15.121,MC1H
8/8/2017 7:00,C,14.073,MC1L
8/8/2017 7:00,C,15.121,MC1H
8/8/2017 6:00,C,14.073,MC1L
8/8/2017 6:00,C,15.622,MC1H
8/8/2017 5:00,C,14.073,MC1L
8/8/2017 5:00,C,15.622,MC1H
8/8/2017 4:00,C,14.574,MC1L
8/8/2017 4:00,C,15.622,MC1H
8/8/2017 3:00,C,14.073,MC1L
8/8/2017 3:00,C,15.622,MC1H
8/8/2017 2:00,C,14.073,MC1L
8/8/2017 2:00,C,15.622,MC1H
8/8/2017 1:00,C,14.574,MC1L
8/8/2017 1:00,C,16.123,MC1H
8/8/2017 0:00,C,15.075,MC1L
8/8/2017 0:00,C,16.624,MC1H
8/7/2017 23:00,C,15.577,MC1L
8/7/2017 23:00,C,17.625,MC1H
8/7/2017 22:00,C,16.579,MC1L
8/7/2017 22:00,C,18.126,MC1H
8/7/2017 21:00,C,18.083,MC1L
8/7/2017 21:00,C,19.127,MC1H
8/7/2017 20:00,C,19.585,MC1L
8/7/2017 20:00,C,20.629,MC1H
8/7/2017 19:00,C,21.588,MC1L
8/7/2017 19:00,C,22.13,MC1H
8/7/2017 18:00,C,24.59,MC1L
8/7/2017 18:00,C,23.13,MC1H
8/7/2017 17:00,C,24.09,MC1L
8/7/2017 17:00,C,24.131,MC1H
8/7/2017 16:00,C,24.09,MC1L
8/7/2017 16:00,C,24.131,MC1H
8/7/2017 15:00,C,27.09,MC1L
8/7/2017 15:00,C,23.631,MC1H
8/7/2017 14:00,C,23.089,MC1L
8/7/2017 14:00,C,22.13,MC1H
8/7/2017 13:00,C,21.588,MC1L
8/7/2017 13:00,C,20.629,MC1H
8/7/2017 12:00,C,19.585,MC1L
8/7/2017 12:00,C,19.127,MC1H
8/7/2017 11:00,C,17.08,MC1L
8/7/2017 11:00,C,17.625,MC1H
8/7/2017 10:00,C,15.577,MC1L
8/7/2017 10:00,C,16.624,MC1H
8/7/2017 9:00,C,14.574,MC1L
8/7/2017 9:00,C,15.622,MC1H
8/7/2017 8:00,C,13.571,MC1L
8/7/2017 8:00,C,15.121,MC1H
8/7/2017 7:00,C,12.568,MC1L
8/7/2017 7:00,C,14.119,MC1H
8/7/2017 6:00,C,12.568,MC1L
8/7/2017 6:00,C,14.62,MC1H
8/7/2017 5:00,C,13.069,MC1L
8/7/2017 5:00,C,14.62,MC1H
8/7/2017 4:00,C,13.069,MC1L
8/7/2017 4:00,C,15.121,MC1H
8/7/2017 3:00,C,13.571,MC1L
8/7/2017 3:00,C,15.121,MC1H
8/7/2017 2:00,C,14.073,MC1L
8/7/2017 2:00,C,15.622,MC1H
8/7/2017 1:00,C,14.574,MC1L
8/7/2017 1:00,C,16.123,MC1H
8/7/2017 0:00,C,15.075,MC1L
8/7/2017 0:00,C,16.624,MC1H
8/6/2017 23:00,C,15.075,MC1L
8/6/2017 23:00,C,17.125,MC1H
8/6/2017 22:00,C,16.078,MC1L
8/6/2017 22:00,C,17.625,MC1H
8/6/2017 21:00,C,17.582,MC1L
8/6/2017 21:00,C,18.627,MC1H
8/6/2017 20:00,C,19.084,MC1L
8/6/2017 20:00,C,20.128,MC1H
8/6/2017 19:00,C,20.587,MC1L
8/6/2017 19:00,C,21.129,MC1H
